stop,rstnam,line,nptref,smsref,gmgrfe,gmgrfn,mainrd,sidest,nettyp,gazref,netwrf,lifts,ramps,cycle_prov,cycle_lockers,stands,car_parking,total_spaces,bb_spaces
Ladywell,Ladywell,Eccles,9400ZZMALDY,MANTMTWP,378414,398634,ECCLES NEW ROAD,GILDA BROOK RD,M,N0075035,NFR487,No,Yes,Yes,0,9,Yes,250,22
Langworthy,Langworthy,Eccles,9400ZZMALWY,MANTMTWT,380456,398249,ECCLES NEW RD,MISSOURI AVE,M,N0076701,NFR485,No,Yes,No,0,0,No,0,0
MediaCityUK,MediaCityUK,Eccles,9400ZZMAMCU,MANTPDGW,380391,397322,THE QUAYS,NA,M,N0079088,NFR495,No,Yes,No,0,0,No,0,0
Pomona,Pomona,Eccles,9400ZZMAPOM,MANTMWAT,381644,396530,POMONA STRAND,NA,M,N0075140,SJR479,Yes,Yes,No,0,0,No,0,0
Salford Quays,Salford Quays,Eccles,9400ZZMASQY,MANTMWDP,381247,397105,CAPITAL QUAY,MERCHANTS QUAY,M,N0075140,NFR481,No,No,No,0,0,No,0,0
Weaste,Weaste,Eccles,9400ZZMAWST,MANTMWGP,379658,398461,ECCLES NEW RD,KNOTT STREET,M,E0029513,NFR486,No,Yes,No,0,0,No,0,0
Baguley,Baguley,Manchester,9400ZZMABAG,MANTWGWJ,380646,388894,SOUTHMOOR ROAD,NA,M,E0028505,SBR700,No,Yes,Yes,0,0,No,0,0
Barlow Moor Road,Barlow Moor Road,Manchester,9400ZZMABAR,MANTWGPG,382202,392926,MAULDETH RD,BARLOW MOOR RD,M,E0028716,SBR685,No,Yes,Yes,0,0,No,0,0
Benchill,Benchill,Manchester,9400ZZMABLL,MANTWJAT,383056,387834,BROWNLEY RD,NA,M,E0028539,SBR709,No,Yes,Yes,0,0,No,0,0
Crossacres,Crossacres,Manchester,9400ZZMACSS,MANTWJDG,383052,387421,BROWNLEY RD,NA,M,E0029594,SBR712,No,Yes,Yes,0,0,No,0,0
Manchester Airport,Manchester Airport,Manchester,9400ZZMAAIR,MANTWJMJ,381968,385418,TERMINAL RD,NA,M,N0075057,SBR727,Yes,Yes,No,0,0,No,0,0
Martinscroft,Martinscroft,Manchester,9400ZZMAMFT,MANTWJAJ,381488,388373,HOLLYHEDGE RD,NA,M,E0029129,SBR706,No,Yes,Yes,0,0,No,0,0
Moor Road,Moor Road,Manchester,9400ZZMAMRD,MANTWGWA,380471,389661,MOOR ROAD,BIDEFORD DRIVE,M,E0028505,SBR697,No,Yes,Yes,0,0,No,0,0
Northern Moor,Northern Moor,Manchester,9400ZZMANMR,MANTWGTD,380940,390895,SALE ROAD,NA,M,N0075104,SBR691,No,Yes,Yes,0,0,No,0,0
Peel Hall,Peel Hall,Manchester,9400ZZMAPLL,MANTWJGP,383437,386344,SIMONSWAY,NA,M,E0029196,SBR721,No,Yes,Yes,0,0,No,0,0
Robinswood Road,Robinswood Road,Manchester,9400ZZMARWD,MANTWJGA,382898,386636,SIMONSWAY,NA,M,E0029594,SBR718,No,Yes,Yes,0,0,No,0,0
Roundthorn,Roundthorn,Manchester,9400ZZMARND,MANTWGWT,380868,388456,SOUTHMOOR RD,HOLLYHEDGE ROAD,M,E0029271,SBR703,No,Yes,Yes,0,0,No,0,0
Sale Water Park,Sale Water Park,Manchester,9400ZZMASWP,MANTWGPT,380773,392420,RIFLE ROAD,NA,M,E0029289,SJR688,No,Yes,Yes,0,0,Yes,300,16
